id,label
1,0.998939
10,0.000004
100,0.077565
1000,0.999999
10000,0.999984
10001,0.000135
10002,0.000640
10003,0.999999
10004,0.997091
10005,0.036642
10006,0.000051
10007,0.003842
10008,0.000064
10009,0.000069
1001,0.000014
10010,0.999324
10011,1.000000
10012,0.000243
10013,0.007044
10014,0.006095
10015,0.995345
10016,0.001313
10017,0.000033
10018,0.004186
10019,0.000000
1002,0.993556
10020,0.857677
10021,0.002125
10022,0.999732
10023,0.999828
10024,1.000000
10025,0.998104
10026,0.999934
10027,0.999999
10028,0.000175
10029,0.988565
1003,1.000000
10030,1.000000
10031,0.000405
10032,0.043940
10033,0.022054
10034,0.999969
10035,0.999976
10036,0.999924
10037,0.000824
10038,0.999965
10039,0.999999
1004,0.999997
10040,0.000000
10041,0.999928
10042,0.993491
10043,1.000000
10044,0.000001
10045,0.999528
10046,0.999998
10047,0.999974
10048,0.999999
10049,0.132677
1005,0.000008
10050,0.480670
10051,0.000201
10052,0.011788
10053,0.970904
10054,0.000093
10055,0.013564
10056,0.999999
10057,0.009832
10058,0.999279
10059,0.985204
1006,1.000000
10060,0.999999
10061,0.000025
10062,0.009585
10063,0.999987
10064,1.000000
10065,0.000997
10066,0.093986
10067,0.019901
10068,0.000022
10069,0.000510
1007,1.000000
10070,0.998809
10071,0.000006
10072,0.000139
10073,0.995518
10074,0.000485
10075,0.851465
10076,0.234799
10077,0.000028
10078,1.000000
10079,0.000000
1008,0.000014
10080,0.999995
10081,0.899476
10082,0.003393
10083,0.000050
10084,1.000000
10085,0.999999
10086,0.999999
10087,0.999761
10088,0.000000
10089,0.511719
1009,0.999999
10090,0.046560
10091,0.017743
10092,0.999985
10093,0.863345
10094,0.999893
10095,0.000000
10096,0.999989
10097,0.999953
10098,0.999865
10099,0.001035
101,0.000658
1010,0.999986
10100,0.983077
10101,0.999951
10102,0.027510
10103,0.000033
10104,0.999996
10105,0.999960
10106,0.000003
10107,0.013429
10108,0.999779
10109,0.000000
1011,0.000027
10110,0.996682
10111,0.027222
10112,0.000000
10113,0.999998
10114,0.000059
10115,0.029246
10116,1.000000
10117,0.000405
10118,0.004482
10119,0.998892
1012,0.992252
10120,0.000005
10121,0.000011
10122,0.018814
10123,0.151525
10124,0.999998
10125,0.000811
10126,0.000004
10127,0.999935
10128,0.119341
10129,0.999049
1013,0.000003
10130,0.000973
10131,0.999906
10132,0.000448
10133,0.001178
10134,0.996231
10135,1.000000
10136,0.999525
10137,0.051419
10138,0.999985
10139,0.999092
1014,0.999999
10140,0.812735
10141,0.999931
10142,0.997173
10143,0.998453
10144,0.999796
10145,0.001407
10146,0.999998
10147,0.999992
10148,0.999972
10149,0.000008
1015,0.001467
10150,0.917913
10151,0.000015
10152,0.000003
10153,0.999271
10154,0.007969
10155,0.999999
10156,0.896507
10157,0.186966
10158,0.002045
10159,0.999844
1016,0.999315
10160,0.001712
10161,0.079827
10162,0.999983
10163,1.000000
10164,0.994180
10165,0.955008
10166,0.999933
10167,0.999967
10168,0.989443
10169,0.999999
1017,0.000559
10170,0.002926
10171,0.000416
10172,0.999991
10173,0.009034
10174,0.994345
10175,0.659503
10176,1.000000
10177,0.995831
10178,0.184572
10179,0.999868
1018,0.999984
10180,0.956959
10181,0.999995
10182,0.002437
10183,0.426508
10184,0.001362
10185,0.999926
10186,0.999962
10187,0.999999
10188,0.010003
10189,0.999961
1019,0.999996
10190,0.999935
10191,0.005058
10192,0.992376
10193,0.000315
10194,0.000011
10195,0.999999
10196,0.999838
10197,0.999999
10198,0.011942
10199,0.004483
102,0.999995
1020,0.000114
10200,0.000010
10201,0.000000
10202,1.000000
10203,0.999938
10204,0.000214
10205,0.947659
10206,0.592534
10207,0.999999
10208,1.000000
10209,1.000000
1021,0.160928
10210,0.000645
10211,0.000022
10212,0.007424
10213,0.858825
10214,0.999869
10215,0.000001
10216,0.999979
10217,0.996087
10218,0.000000
10219,0.714145
1022,0.000141
10220,1.000000
10221,0.999990
10222,0.993746
10223,0.000305
10224,0.004571
10225,0.909515
10226,0.024330
10227,0.000001
10228,0.358902
10229,0.059570
1023,0.000002
10230,0.848157
10231,0.999991
10232,1.000000
10233,0.999938
10234,0.013308
10235,0.000000
10236,0.000109
10237,0.000867
10238,0.983402
10239,0.000916
1024,0.000004
10240,0.000975
10241,0.999713
10242,1.000000
10243,0.999945
10244,1.000000
10245,1.000000
10246,0.949074
10247,0.999998
10248,0.000326
10249,0.999929
1025,0.000033
10250,0.000632
10251,0.999683
10252,0.002393
10253,0.999979
10254,0.999999
10255,0.972869
10256,0.999942
10257,0.872376
10258,0.999999
10259,0.999991
1026,0.081121
10260,0.008108
10261,0.999981
10262,0.999987
10263,0.999998
10264,0.000001
10265,0.731845
10266,0.000069
10267,0.000001
10268,0.999994
10269,0.999637
1027,0.001071
10270,0.000021
10271,0.999967
10272,0.560009
10273,0.008948
10274,0.002586
10275,0.999472
10276,0.001150
10277,0.791171
10278,0.923058
10279,1.000000
1028,0.000050
10280,0.997394
10281,1.000000
10282,0.999884
10283,1.000000
10284,0.999849
10285,0.999986
10286,0.000239
10287,0.000240
10288,0.000043
10289,0.000482
1029,0.000464
10290,0.978935
10291,1.000000
10292,0.006299
10293,0.999882
10294,0.000568
10295,0.000009
10296,0.001075
10297,1.000000
10298,0.999999
10299,0.990511
103,0.000001
1030,0.000006
10300,0.999976
10301,0.000000
10302,0.999599
10303,0.089508
10304,0.999996
10305,0.999998
10306,0.999950
10307,0.906054
10308,0.000010
10309,0.000183
1031,0.002536
10310,0.325185
10311,0.002505
10312,0.000030
10313,0.999895
10314,0.041877
10315,0.999995
10316,0.999966
10317,1.000000
10318,0.000002
10319,0.911583
1032,0.999508
10320,1.000000
10321,1.000000
10322,0.999967
10323,0.974913
10324,0.999547
10325,0.001583
10326,0.999977
10327,0.980149
10328,0.000047
10329,0.999999
1033,0.958284
10330,0.342967
10331,0.000221
10332,0.999996
10333,0.043902
10334,0.000270
10335,1.000000
10336,0.030341
10337,0.031143
10338,0.021991
10339,0.999964
1034,0.999990
10340,0.000350
10341,0.000680
10342,0.999944
10343,0.000008
10344,0.999998
10345,0.998530
10346,0.006148
10347,0.690858
10348,0.970200
10349,0.999967
1035,0.022727
10350,0.999706
10351,0.000070
10352,0.999996
10353,0.000115
10354,0.999465
10355,1.000000
10356,0.000696
10357,0.977952
10358,0.401514
10359,0.994678
1036,0.999981
10360,0.000001
10361,0.000844
10362,0.000001
10363,0.000012
10364,1.000000
10365,0.001928
10366,0.999992
10367,0.999865
10368,1.000000
10369,0.000002
1037,0.999860
10370,0.999526
10371,0.000001
10372,0.999566
10373,0.000016
10374,0.999941
10375,0.528185
10376,0.000001
10377,0.000008
10378,0.000003
10379,0.999787
1038,0.999999
10380,0.991151
10381,0.350675
10382,0.000004
10383,0.019472
10384,0.999309
10385,1.000000
10386,0.000037
10387,0.629510
10388,0.000318
10389,0.000053
1039,0.000116
10390,0.999994
10391,0.999195
10392,0.007916
10393,0.000255
10394,0.000070
10395,0.999993
10396,0.999987
10397,0.000005
10398,0.008669
10399,0.999997
104,0.000000
1040,0.999964
10400,1.000000
10401,0.494858
10402,0.000435
10403,1.000000
10404,0.066009
10405,0.000000
10406,0.990879
10407,0.000000
10408,0.002133
10409,0.999934
1041,0.000636
